gene_id,log2fc,padj,comparison,source_sheet
B9J08_002830,2.163892434,1.84e-06,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_004560,2.142302469,0.000934143,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_002847,2.135264739,0.000637484,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_001484,2.108894526,0.000415757,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_002919,2.082422217,1.65e-08,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_002940,2.082323916,4.63e-06,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_000178,2.053001254,0.000180945,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_001581,2.050865566,1.88e-11,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_003628,2.042873445,0.001396864,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_000987,2.042729595,0.000315535,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_004559,2.039970517,1.42e-06,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_002012,2.029473547,0.000299444,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_004628,2.005229378,9.83e-05,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_001552,1.985906968,0.00931954,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_004365,1.915348634,0.000148015,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_002668,1.901935076,0.000319323,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_002261,1.88528793,0.001288448,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_005380,1.867264086,4.15e-05,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_002166,1.864983413,1.07e-06,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_000388,1.855629002,1.32e-07,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_004148,1.83859351,0.000449841,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_002239,1.83719299,9.46e-11,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_004477,1.833153457,1.25e-08,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_004905,1.826470329,0.001064084,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_004324,1.807221971,1.4e-11,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_002825,1.804897175,1.21e-10,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_004167,1.803291155,0.003690302,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_004840,1.797889194,0.002113655,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_000592,1.79647397,0.000319323,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_003109,1.784507901,1.32e-08,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_005394,1.779222383,0.000319119,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_000581,1.775123218,9.82e-05,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_000849,1.764802145,2.03e-08,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_002624,1.763382585,0.000336098,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_003514,1.73567433,3.49e-08,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_001956,1.732207345,0.004479198,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_000594,1.722071303,2.06e-06,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_000398,1.717495093,1.28e-06,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_001551,1.708787881,0.008941127,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_001613,1.707778924,0.003002376,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_000007,1.691857119,0.001027136,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_001538,1.683834749,0.000164436,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_001323,1.679460215,0.000239545,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
